Status,MVP Scope,Category,Method,Path,operationId,Candidate,Recruiter,Permission,Request,Success,Main Errors,Summary
DRAFT,MVP,Auth,POST,/auth/register,registerUser,YES,YES,Public,body: RegisterRequest,201,"409, 422",Register Candidate or Recruiter
DRAFT,MVP,Auth,POST,/auth/login,login,YES,YES,Public,body: LoginRequest,200,401,Log in with email and password
DRAFT,MVP,Auth,POST,/auth/refresh,refreshToken,YES,YES,Public,body: RefreshTokenRequest,200,401,Rotate access and refresh tokens
DRAFT,MVP,Auth,POST,/auth/logout,logout,YES,YES,Authenticated session,body: RefreshTokenRequest,204,"401, 403",Revoke the current refresh token
DRAFT,MVP,Profile,GET,/candidate/profile,getCandidateProfile,YES,NO,Candidate self only,—,200,"401, 403",Get candidate profile and counters
DRAFT,MVP,Profile,PATCH,/candidate/profile,updateCandidateProfile,YES,NO,Candidate self only,body: UpdateProfileRequest,200,"422, 401, 403, 409",Update candidate profile fields
DRAFT,MVP,Profile,GET,/recruiter/me,getRecruiterMe,NO,YES,Recruiter self,—,200,"401, 404, 403",Get current recruiter
DRAFT,MVP,Profile,GET,/recruiter/profile,getRecruiterProfile,NO,YES,Recruiter self,—,200,"401, 403",Get recruiter profile with editable title and bio
DRAFT,MVP,Profile,PATCH,/recruiter/profile,updateRecruiterProfile,NO,YES,Recruiter self,body: UpdateRecruiterProfileRequest,200,"401, 403, 422, 400",Update recruiter fullName title and bio (avatarUrl read-only)
DRAFT,MVP,Profile,POST,/profile/avatar,uploadAvatar,YES,YES,Authenticated self (Candidate or Recruiter); no target user ID accepted,multipart: file (PNG/JPEG <= 5 MiB),200,"401, 403, 413, 422",Upload or replace the current user's avatar
DRAFT,MVP,Profile,DELETE,/profile/avatar,deleteAvatar,YES,YES,Authenticated self (Candidate or Recruiter); no target user ID accepted,—,204,"401, 403",Delete the current user's avatar
DRAFT,MVP,Profile,GET,/avatars/{userId},getAvatar,YES,YES,Public; avatar is part of the public profile,params: userId,200,404,Read a user's avatar image bytes
DRAFT,MVP,Profile,GET,/recruiter/company,getRecruiterCompany,NO,YES,Recruiter company member; current company scope only,—,200,"401, 404, 403",Get recruiter company
DRAFT,MVP,Profile,PATCH,/recruiter/company,updateRecruiterCompany,NO,YES,Recruiter company admin capability; current company scope only,body: UpdateCompanyRequest,200,"401, 404, 403, 409, 422",Update recruiter company
IMPLEMENTED,MVP,Profile,GET,/recruiter/dashboard,getRecruiterDashboard,NO,YES,Recruiter; own-company aggregate,—,200,"401, 404, 403",Get own-company dashboard
IMPLEMENTED,MVP,Profile,GET,/candidate/recruiters/{recruiterId},getCandidateRecruiterPublicProfile,YES,NO,Candidate; visible via application, conversation, or a published public job; missing or unreachable resources return 404,params: recruiterId,200,"404, 401, 403",Get public recruiter profile
IMPLEMENTED,MVP,Profile,GET,/candidate/companies/{companyId},getCandidateCompanyPublicProfile,YES,NO,Candidate; visible via application, conversation, or a published public job; missing or unreachable resources return 404,params: companyId,200,"404, 401, 403",Get public company profile
DRAFT,MVP,Jobs,GET,/jobs,listJobs,YES,NO,Candidate role; returns ACTIVE visible jobs only,params: q/employmentType/Page/PageSize,200,"401, 403",Search and filter jobs
DRAFT,MVP,Jobs,GET,/jobs/{jobId},getJob,YES,NO,Candidate role; ACTIVE visible job only,params: JobId,200,"404, 401, 403",Get a job and candidate match analysis
DRAFT,MVP,Jobs,GET,/recruiter/jobs,listRecruiterJobs,NO,YES,Recruiter; own company,params: q/status/employmentType/location/ownerId/Page/PageSize,200,"401, 404, 403",List own-company jobs
DRAFT,MVP,Jobs,POST,/recruiter/jobs,createRecruiterJob,NO,YES,Recruiter; verified own company,body: CreateJobRequest,201,"401, 404, 403, 409, 422",Create job draft
DRAFT,MVP,Jobs,GET,/recruiter/jobs/{jobId},getRecruiterJob,NO,YES,Recruiter; own-company job; cross-company resources return 404,params: JobId,200,"401, 404, 403",Get own-company job
DRAFT,MVP,Jobs,PATCH,/recruiter/jobs/{jobId},updateRecruiterJob,NO,YES,Recruiter; own-company job + edit capability; cross-company resources return 404,params: JobId; body: UpdateJobRequest,200,"401, 404, 403, 409, 422",Update own-company job
DRAFT,MVP,Jobs,POST,/recruiter/jobs/{jobId}/publish,publishRecruiterJob,NO,YES,Recruiter; own company; verified company; cross-company resources return 404,params: JobId; body: PublishJobRequest,200,"401, 404, 403, 409, 422",Publish job
DRAFT,MVP,Jobs,POST,/recruiter/jobs/{jobId}/status,changeRecruiterJobStatus,NO,YES,Recruiter; own-company job; cross-company resources return 404,params: JobId; body: ChangeJobStatusRequest,200,"401, 404, 403, 409, 422",Change job lifecycle status
DRAFT,MVP,Applications,POST,/jobs/{jobId}/applications,submitApplication,YES,NO,Candidate role; own Resume; target job must be ACTIVE and accepting applications,params: JobId/IdempotencyKey; body: SubmitApplicationRequest,201,"404, 409, 422, 401, 403",Submit an application
DRAFT,MVP,Applications,GET,/candidate/applications,listApplications,YES,NO,Candidate self only,params: filter/Page/PageSize,200,"401, 403",List the current candidate's applications
DRAFT,MVP,Applications,GET,/candidate/applications/{applicationId},getApplication,YES,NO,Candidate application owner only,params: applicationId,200,"404, 401, 403",Get an application
DRAFT,MVP,Applications,GET,/recruiter/applications,listRecruiterApplications,NO,YES,Recruiter; applications to own-company jobs,params: status/jobId/q/ownerId/minMatchScore/Page/PageSize/sort,200,"401, 404, 403",List own-company applications
DRAFT,MVP,Applications,GET,/recruiter/applications/{applicationId},getRecruiterApplication,NO,YES,Recruiter; own-company application; cross-company resources return 404,params: applicationId,200,"401, 404, 403",Get own-company application detail
